"","V1"
"1",1
"2",2
"3",3
"4",5
"5",5
"6",5
"7",5
"8",3
"9",5
"10",4
"11",5
"12",3
"13",4
"14",5
"15",1
"16",1
"17",1
"18",1
"19",3
"20",5
"21",5
"22",4
"23",3
"24",2
"25",5
"26",1
"27",1
"28",2
"29",1
"30",5
"31",1
"32",3
"33",5
"34",3
"35",4
"36",4
"37",1
"38",4
"39",5
"40",5
"41",5
"42",3
"43",3
"44",1
"45",4
"46",3
"47",2
"48",5
"49",3
"50",5
"51",3
"52",3
"53",5
"54",4
"55",1
"56",4
"57",1
"58",5
"59",2
"60",4
"61",1
"62",3
"63",2
"64",3
"65",5
"66",5
"67",2
"68",3
"69",5
"70",3
"71",3
"72",1
"73",3
"74",5
"75",1
"76",3
"77",4
"78",3
"79",3
"80",2
"81",5
"82",2
"83",3
"84",3
"85",3
"86",2
"87",3
"88",1
"89",3
"90",1
"91",3
"92",3
"93",3
"94",3
"95",5
"96",3
"97",4
"98",2
"99",5
"100",2
"101",4
"102",5
"103",3
"104",1
"105",1
"106",3
"107",4
"108",2
"109",3
"110",3
"111",5
"112",5
"113",4
"114",3
"115",5
"116",1
"117",1
"118",3
"119",3
"120",1
"121",5
"122",3
"123",5
"124",4
"125",2
"126",1
"127",3
"128",3
"129",3
"130",5
"131",5
"132",2
"133",4
"134",2
"135",2
"136",1
"137",1
"138",4
"139",5
"140",3
"141",2
"142",3
"143",3
"144",3
"145",4
"146",5
"147",4
"148",5
"149",1
"150",1
"151",4
"152",4
"153",3
"154",2
"155",5
"156",4
"157",3
"158",4
"159",3
"160",4
"161",3
"162",4
"163",5
"164",4
"165",4
"166",1
"167",2
"168",3
"169",4
"170",1
"171",4
"172",5
"173",3
"174",3
"175",5
"176",1
"177",5
"178",5
"179",3
"180",5
"181",1
"182",2
"183",3
"184",4
"185",3
"186",3
"187",3
"188",3
"189",5
"190",1
"191",4
"192",2
